Month,VHT,ToD,Agents,CallsOffered,CallsAbandoned,CallsHandled,ASA,Avehandletime
Dec-Jan,Off,morning,33,196,0,196,0,5
Dec-Jan,Off,afternoon,26,171,6,165,1.05,4.8
Dec-Jan,On,morning,38,212,0,212,0.03,5.3
Dec-Jan,On,morning,34,285,26,259,4.13,4.7
Dec-Jan,Off,evening,8,49,0,49,0,5.2
Dec-Jan,On,evening,17,91,1,90,0.55,5.8
Dec-Jan,Off,afternoon,28,158,0,158,0.07,5.4
Dec-Jan,On,morning,56,286,14,272,3.13,6.2
Dec-Jan,On,afternoon,25,139,0,139,0.05,5.6
Dec-Jan,On,morning,29,161,0,161,0,5.3
Dec-Jan,Off,morning,9,102,37,65,10.65,6.8
Dec-Jan,On,afternoon,23,163,4,159,1.2,4.4
Dec-Jan,Off,evening,8,58,0,58,0.05,4.6
Dec-Jan,Off,evening,8,49,0,49,0.05,5.2
Dec-Jan,Off,morning,37,214,1,213,0.3,5.2
Dec-Jan,On,evening,4,29,0,29,0,4.7
Dec-Jan,Off,evening,9,46,0,46,0.2,6
Dec-Jan,On,afternoon,30,204,0,204,0.15,4.5
Dec-Jan,Off,evening,12,72,2,70,0.93,4.9
Dec-Jan,Off,evening,12,76,14,62,1.08,6.3
Dec-Jan,On,morning,23,237,50,187,8.97,5.8
Dec-Jan,Off,evening,10,58,0,58,0,5.4
Dec-Jan,Off,evening,7,39,0,39,0,6
Dec-Jan,Off,morning,32,196,14,182,1.7,5.2
Dec-Jan,Off,morning,26,172,3,169,0.58,4.5
Dec-Jan,Off,morning,30,167,0,167,0,5.5
Dec-Jan,Off,afternoon,20,133,0,133,0.02,4.8
Dec-Jan,On,morning,23,226,32,194,7.12,5.3
Dec-Jan,Off,evening,14,79,1,78,0.17,5.4
Dec-Jan,On,afternoon,6,42,1,41,0.67,4.5
Dec-Jan,On,morning,35,198,0,198,0.1,5.4
Dec-Jan,On,morning,13,252,61,191,15.3,4.2
Dec-Jan,Off,morning,31,198,0,198,0.25,4.7
Dec-Jan,On,morning,25,241,36,205,7.33,5.3
Dec-Jan,Off,afternoon,28,172,9,163,1.97,5.1
Dec-Jan,On,morning,8,59,0,59,0,4.4
Dec-Jan,On,morning,31,255,34,221,6.83,5.7
Dec-Jan,On,morning,21,247,49,198,10.28,5.4
Dec-Jan,On,afternoon,37,238,16,222,2.83,4.9
Dec-Jan,On,afternoon,27,179,0,179,0,4.5
Dec-Jan,On,evening,8,45,0,45,0,5.4
Dec-Jan,Off,evening,3,24,0,24,0,4.7
Dec-Jan,Off,evening,9,48,0,48,0,5.2
Dec-Jan,Off,evening,10,72,0,72,0.18,4.5
Dec-Jan,On,afternoon,30,169,0,169,0.08,5.4
Dec-Jan,On,afternoon,29,173,2,171,0.43,5.3
Dec-Jan,On,morning,47,282,9,273,1.35,5.1
Dec-Jan,Off,morning,37,219,2,217,0.15,5.2
Dec-Jan,Off,afternoon,28,164,0,164,0.17,5.3
Dec-Jan,Off,evening,10,65,1,64,0.12,5.2
Dec-Jan,Off,evening,11,58,2,56,0.35,6.3
Dec-Jan,Off,morning,29,229,29,200,3.48,4.7
Dec-Jan,On,afternoon,30,177,0,177,0,5.1
Dec-Jan,On,morning,20,251,40,211,11.18,5.1
Dec-Jan,On,afternoon,39,230,8,222,0.98,5.2
Dec-Jan,Off,evening,9,88,19,69,7.43,5.8
Dec-Jan,Off,morning,11,73,4,69,1,4.8
Dec-Jan,Off,evening,8,39,0,39,0,5.8
Dec-Jan,On,afternoon,14,91,0,91,0,4.4
Dec-Jan,Off,evening,12,82,6,76,1.95,4.9
Dec-Jan,On,afternoon,25,169,0,169,0.08,4.6
Dec-Jan,Off,evening,11,69,0,69,0,4.7
Dec-Jan,Off,morning,37,204,1,203,0.15,5.4
Dec-Jan,Off,evening,9,50,0,50,0.03,5.1
Dec-Jan,On,afternoon,29,179,2,177,0.82,4.8
Dec-Jan,On,afternoon,25,169,17,152,3.75,5.1
Dec-Jan,Off,afternoon,39,207,2,205,0.72,5.7
Dec-Jan,On,evening,6,39,0,39,0,3.8
Dec-Jan,Off,afternoon,11,66,0,66,0,5.1
Dec-Jan,Off,evening,9,41,0,41,0,6.2
Dec-Jan,On,afternoon,7,42,0,42,0.15,4.4
Dec-Jan,Off,evening,7,36,0,36,0,5
Dec-Jan,Off,morning,24,160,0,160,0.12,4.6
Dec-Jan,Off,afternoon,27,187,17,170,1.62,4.9
Dec-Jan,Off,afternoon,6,40,0,40,0,4.2
Dec-Jan,Off,evening,9,43,0,43,0,5.8
Dec-Jan,On,morning,10,71,2,69,0.25,4.2
Dec-Jan,On,morning,25,219,42,177,7.82,5.9
Dec-Jan,Off,afternoon,33,191,13,178,1.77,5.5
Dec-Jan,Off,afternoon,26,148,4,144,0.28,5.4
Dec-Jan,On,afternoon,35,194,0,194,0.12,5.3
Dec-Jan,On,morning,33,225,22,203,2.92,4.9
Dec-Jan,Off,evening,8,44,0,44,0.05,5.8
Dec-Jan,On,afternoon,28,159,0,159,0.02,5.3
Dec-Jan,Off,morning,13,236,85,151,9.17,4.4
Dec-Jan,Off,morning,27,228,37,191,3.75,4.7
Dec-Jan,Off,afternoon,4,31,0,31,0.05,4.5
Dec-Jan,On,morning,13,77,0,77,0.05,5
Dec-Jan,Off,evening,8,46,0,46,0,4.7
Dec-Jan,Off,morning,4,73,20,53,4.15,3.3
Dec-Jan,On,morning,47,297,18,279,2.92,5.1
Dec-Jan,Off,evening,16,70,0,70,0,7
